episode,episode_reward,avg_reward,epsilon,sim_seconds,total_departed,avg_departed_per_sec,switch_count,average_queue,average_wait,average_imbalance,cumulative_queue,cumulative_wait,final_total_queue,final_total_wait
64,-9871.65,-32.9055,0.8971,7200,8611,1.1960,185,5.8419,31.1600,4.9506,42062.00,224352.00,7,59
65,-10091.89,-33.6396,0.8955,7200,8487,1.1787,187,5.9282,31.8586,4.9887,42683.00,229382.00,11,77
66,-9896.50,-32.9883,0.8939,7200,8553,1.1879,207,5.8608,31.2071,4.9803,42198.00,224691.00,11,60
67,-10094.07,-33.6469,0.8923,7200,8636,1.1994,209,5.9568,31.8418,5.0224,42889.00,229261.00,8,50
68,-10541.47,-35.1382,0.8908,7200,8596,1.1939,216,6.1504,33.2567,5.1621,44283.00,239448.00,9,75
69,-9999.01,-33.3300,0.8892,7200,8635,1.1993,190,5.9167,31.5582,4.9908,42600.00,227219.00,7,42
70,-10521.62,-35.0721,0.8876,7200,8630,1.1986,195,6.1365,33.2218,5.1363,44183.00,239197.00,12,64
71,-10272.33,-34.2411,0.8860,7200,8572,1.1906,206,6.0221,32.4039,5.1104,43359.00,233308.00,5,13
72,-10234.52,-34.1151,0.8844,7200,8600,1.1944,186,6.0183,32.3143,5.0417,43332.00,232663.00,13,84
73,-10260.27,-34.2009,0.8828,7200,8583,1.1921,199,6.0133,32.3811,5.0708,43296.00,233144.00,11,85
74,-10039.28,-33.4643,0.8812,7200,8661,1.2029,193,5.9575,31.6700,5.0561,42894.00,228024.00,8,59
75,-10377.72,-34.5924,0.8797,7200,8563,1.1893,188,6.0249,32.7758,5.0912,43379.00,235986.00,14,92
76,-10103.71,-33.6790,0.8781,7200,8611,1.1960,195,5.9744,31.8810,5.0308,43016.00,229543.00,10,77
77,-10137.46,-33.7915,0.8765,7200,8712,1.2100,189,5.9899,31.9904,5.0957,43127.00,230331.00,6,31
78,-10321.45,-34.4048,0.8749,7200,8667,1.2038,199,6.0944,32.5575,5.1567,43880.00,234414.00,12,75
79,-10325.49,-34.4183,0.8733,7200,8569,1.1901,200,6.0439,32.5896,5.0750,43516.00,234645.00,16,127
80,-10305.89,-34.3530,0.8718,7200,8535,1.1854,201,6.0372,32.5250,5.0611,43468.00,234180.00,12,95
81,-10021.96,-33.4065,0.8702,7200,8631,1.1987,182,5.9067,31.6526,4.9497,42528.00,227899.00,11,67
82,-10050.35,-33.5012,0.8686,7200,8573,1.1907,194,5.9017,31.7236,4.9928,42492.00,228410.00,8,36
83,-10224.45,-34.0815,0.8670,7200,8623,1.1976,212,5.9879,32.2644,5.0315,43113.00,232304.00,9,81
84,-10680.12,-35.6004,0.8654,7200,8706,1.2092,193,6.2306,33.7236,5.2114,44860.00,242810.00,6,34
85,-10350.35,-34.5012,0.8638,7200,8771,1.2182,195,6.0894,32.6703,5.1356,43844.00,235226.00,12,99
86,-10046.38,-33.4879,0.8622,7200,8588,1.1928,193,5.9282,31.6990,5.0332,42683.00,228233.00,11,63
87,-10269.02,-34.2301,0.8607,7200,8696,1.2078,196,6.0540,32.4031,5.1204,43589.00,233302.00,12,82
88,-10519.39,-35.0646,0.8591,7200,8802,1.2225,188,6.1542,33.2300,5.1353,44310.00,239256.00,8,40
89,-10133.47,-33.7782,0.8575,7200,8746,1.2147,205,6.0117,31.9632,5.0753,43284.00,230135.00,8,63
90,-10366.42,-34.5547,0.8559,7200,8608,1.1956,202,6.0642,32.7181,5.0981,43662.00,235570.00,12,103
91,-10317.84,-34.3928,0.8543,7200,8674,1.2047,186,6.0656,32.5764,5.0983,43672.00,234550.00,11,62
92,-10527.92,-35.0931,0.8528,7200,8707,1.2093,204,6.1819,33.2139,5.2172,44510.00,239140.00,9,55
93,-10526.50,-35.0883,0.8512,7200,8701,1.2085,205,6.1618,33.2175,5.1885,44365.00,239166.00,18,113
94,-10418.45,-34.7282,0.8496,7200,8673,1.2046,185,6.1024,32.9021,5.1146,43937.00,236895.00,8,62
95,-10388.95,-34.6298,0.8480,7200,8700,1.2083,193,6.0875,32.7978,5.1286,43830.00,236144.00,6,31
96,-10082.33,-33.6078,0.8464,7200,8544,1.1867,206,5.9542,31.7989,5.0269,42870.00,228952.00,12,93
97,-10298.99,-34.3300,0.8448,7200,8555,1.1882,177,6.0349,32.5228,5.0865,43451.00,234164.00,16,111
98,-10477.43,-34.9248,0.8433,7200,8565,1.1896,198,6.0831,33.0858,5.0956,43798.00,238218.00,9,50
99,-10408.99,-34.6966,0.8417,7200,8698,1.2081,206,6.0844,32.8533,5.1222,43808.00,236544.00,10,57
100,-10361.87,-34.5396,0.8401,7200,8575,1.1910,204,6.0719,32.6944,5.1111,43718.00,235400.00,12,84
101,-10379.40,-34.5980,0.8385,7200,8592,1.1933,193,6.0961,32.7514,5.1553,43892.00,235810.00,9,79
102,-10321.65,-34.4055,0.8369,7200,8650,1.2014,193,6.0750,32.5763,5.1097,43740.00,234549.00,9,59
103,-10124.27,-33.7476,0.8353,7200,8691,1.2071,192,5.9863,31.9511,5.0537,43101.00,230048.00,10,46
104,-10346.12,-34.4871,0.8337,7200,8541,1.1863,178,6.0488,32.6760,5.0824,43551.00,235267.00,8,46
105,-10258.46,-34.1949,0.8322,7200,8578,1.1914,186,6.0179,32.3828,5.0910,43329.00,233156.00,10,45
106,-10274.01,-34.2467,0.8306,7200,8556,1.1883,206,6.0296,32.4096,5.0968,43413.00,233349.00,12,76
107,-10136.66,-33.7889,0.8290,7200,8534,1.1853,204,5.9343,31.9878,5.0143,42727.00,230312.00,10,52
108,-10155.15,-33.8505,0.8274,7200,8588,1.1928,199,5.9701,32.0475,5.0318,42985.00,230742.00,11,92
109,-9910.70,-33.0357,0.8258,7200,8538,1.1858,190,5.8457,31.2843,4.9257,42089.00,225247.00,9,55
110,-10323.00,-34.4100,0.8243,7200,8569,1.1901,195,6.0553,32.5768,5.1111,43598.00,234553.00,8,28
111,-10642.96,-35.4765,0.8227,7200,8721,1.2112,206,6.1942,33.5961,5.2061,44598.00,241892.00,5,47
112,-10490.33,-34.9678,0.8211,7200,8697,1.2079,201,6.1507,33.1061,5.1724,44285.00,238364.00,10,63
113,-10145.11,-33.8170,0.8195,7200,8535,1.1854,216,5.9683,31.9921,5.0400,42972.00,230343.00,10,53
114,-10270.94,-34.2365,0.8179,7200,8620,1.1972,187,6.0350,32.4232,5.0894,43452.00,233447.00,11,62
115,-10444.21,-34.8140,0.8163,7200,8743,1.2143,201,6.1394,32.9571,5.1761,44204.00,237291.00,11,71
116,-10138.22,-33.7941,0.8147,7200,8635,1.1993,201,5.9799,31.9894,5.0365,43055.00,230324.00,4,19
117,-10315.06,-34.3835,0.8132,7200,8681,1.2057,207,6.0511,32.5514,5.0889,43568.00,234370.00,7,70
118,-10429.29,-34.7643,0.8116,7200,8789,1.2207,190,6.1486,32.9221,5.1642,44270.00,237039.00,11,82
119,-10435.75,-34.7858,0.8100,7200,8627,1.1982,189,6.1065,32.9478,5.1343,43967.00,237224.00,7,40
120,-10383.71,-34.6124,0.8084,7200,8622,1.1975,189,6.0756,32.7858,5.1058,43744.00,236058.00,11,71
121,-10120.44,-33.7348,0.8068,7200,8610,1.1958,200,5.9363,31.9433,5.0107,42741.00,229992.00,10,70
122,-10376.93,-34.5898,0.8053,7200,8628,1.1983,217,6.0640,32.7397,5.0971,43661.00,235726.00,8,46
123,-10250.15,-34.1672,0.8037,7200,8504,1.1811,202,5.9826,32.3497,5.0474,43075.00,232918.00,7,35
124,-10345.43,-34.4848,0.8021,7200,8570,1.1903,206,6.0683,32.6410,5.0964,43692.00,235015.00,9,54
125,-10219.43,-34.0648,0.8005,7200,8612,1.1961,204,6.0190,32.2278,5.1363,43337.00,232040.00,6,32
126,-10230.12,-34.1004,0.7989,7200,8710,1.2097,199,6.0389,32.2800,5.0925,43480.00,232416.00,10,62
127,-10373.08,-34.5769,0.7973,7200,8676,1.2050,204,6.0901,32.7347,5.1135,43849.00,235690.00,12,96
128,-10224.87,-34.0829,0.7957,7200,8519,1.1832,189,5.9912,32.2753,5.0599,43137.00,232382.00,7,42
129,-10483.32,-34.9444,0.7942,7200,8628,1.1983,183,6.1024,33.1156,5.1226,43937.00,238432.00,13,99
130,-10194.57,-33.9819,0.7926,7200,8536,1.1856,211,5.9797,32.1656,5.0108,43054.00,231592.00,9,78
131,-10388.99,-34.6300,0.7910,7200,8718,1.2108,206,6.1078,32.7822,5.1281,43976.00,236032.00,11,81
132,-9883.68,-32.9456,0.7894,7200,8505,1.1812,177,5.8487,31.1972,4.9612,42111.00,224620.00,9,83
133,-10262.52,-34.2084,0.7878,7200,8560,1.1889,187,6.0287,32.3928,5.0865,43407.00,233228.00,6,51
134,-10187.26,-33.9575,0.7863,7200,8554,1.1881,191,6.0081,32.1394,5.0975,43258.00,231404.00,7,38
135,-10470.19,-34.9006,0.7847,7200,8679,1.2054,189,6.1246,33.0594,5.1499,44097.00,238028.00,9,51
136,-10108.37,-33.6946,0.7831,7200,8457,1.1746,196,5.9047,31.9049,5.0003,42514.00,229715.00,12,71
